latitude,longitude,restaurant_id,district_id,city_id,name,street_address,area_address,district_address,region_address,category,cuisine,audience,average_rating,position_rating,price_rating,quality_rating,service_rating,space_rating,review_count,review_excellent_count,review_good_count,review_average_count,review_bad_count,view_count,like_count,checked_in_count,favourite_count,wanted_count,picture_count,status,time_clock,price_range,url
10.7621896405199,106.6454914212226,143987,13,217,Tiệc Tại Gia - Nhóm Nấu Ăn  Kỳ Xương ,"492/1/13 Minh Phụng, P. 9",Khu vực Bình Thới ,Quận 11,TP. HCM,Tiệc tận nơi,Món Việt,Gia đình,8.9,8.0,9.3,9.3,8.0,9.7,3,2,1,0,0,2463,0,1,4,6,31,Đang mở cửa,08:00-22:00,1.500.000đ - 2.100.000đ,http://www.foody.vn/ho-chi-minh/tiec-tai-gia-nhom-nau-an-ky-xuong
10.7570029000000,106.6380180000000,1000025842,13,217,Cô Linh - Bò Né & Nui Xào - Tân Hóa,"22/50F Tân Hóa, P. 1",,Quận 11,TP. HCM,Nhà hàng ,Món Âu,"Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",,--,--,--,--,--,0,,,,,24,0,0,0,0,0,Chưa mở cửa,06:00-15:00,Đang cập nhật,http://www.foody.vn/ho-chi-minh/co-linh-bo-ne-nui-xao-tan-hoa.lmb9x8
10.7592250000000,106.6441340000000,274435,13,217,Lò Đất BBQ - Nướng & Lẩu Tự Chọn - Minh Phụng,396 Minh Phụng,Khu vực Bình Thới ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Sinh viên, Gia đình, Giới văn phòng",7.7,7.6,8.2,7.8,8.0,6.9,41,16,17,2,6,10907,0,6,59,70,106,Đang mở cửa,16:00-23:00,5.000đ - 100.000đ,http://www.foody.vn/ho-chi-minh/lo-dat-bbq-nuong-lau-tu-chon-minh-phung
10.7769030000000,106.6546810000000,194863,13,217,Ốc Phương 2 - Cao Ốc Thuận Việt,"Lô 003 & 006 Cao Ốc Thuận Việt, 319 Lý Thường Kiệt, P. 15",Khu vực Cư Xá Lữ Gia ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội, Giới văn phòng",6.4,5.9,6.9,6.2,6.6,6.5,22,0,7,13,2,4005,0,6,18,52,236,Đang mở cửa,15:00-23:00,5.000đ - 100.000đ,http://www.foody.vn/ho-chi-minh/oc-phuong-2-cao-oc-thuan-viet
10.7581526000000,106.6559231000000,237002,13,217,Quán Phá Lấu 97 Tân Khai,97 Tân Khai,Khu vực Chợ Rẫy ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội, Giới văn phòng",7.2,7.2,7.2,7.7,7.0,7.0,6,3,2,0,1,1084,0,1,12,8,27,Đang mở cửa,15:00-23:00,50.000đ - 120.000đ,http://www.foody.vn/ho-chi-minh/quan-pha-lau-97-tan-khai
10.7626850000000,106.6457520000000,694037,13,217,Quán 020 - Nhậu Bình Dân,"Chung Cư Quân Đội, Đội Cung",Khu vực Bình Thới ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Sinh viên, Gia đình, Giới văn phòng",7.1,6.2,7.8,7.2,6.8,7.4,5,1,3,0,1,2133,0,2,21,21,16,Đang mở cửa,16:00-23:00,30.000đ - 200.000đ,http://www.foody.vn/ho-chi-minh/quan-020-nhau-binh-dan
10.7564931815345,106.6484838981476,779186,13,217,Quán Ăn 102 - Nguyễn Chí Thanh,102 Nguyễn Chí Thanh,Khu vực Cây Gõ ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội",9.2,8.0,8.0,10.0,10.0,10.0,1,1,0,0,0,497,0,1,1,0,7,Đang mở cửa,15:00-22:00,80.000đ - 120.000đ,http://www.foody.vn/ho-chi-minh/quan-an-102-nguyen-chi-thanh
10.7768960000000,106.6547240000000,674231,13,217,Ốc Nàng Tiên,"Lô 003 Cao Ốc Thuận Việt, 319 Lý Thường Kiệt, P. 15",Khu vực Cư Xá Lữ Gia ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội, Giới văn phòng",7.7,7.0,8.5,8.0,7.5,7.5,2,0,2,0,0,1528,0,0,3,12,7,Đang mở cửa,15:00-23:00,6.000đ - 150.000đ,http://www.foody.vn/ho-chi-minh/oc-nang-tien
10.7573030000000,106.6529760000000,290944,13,217,Ốc Vĩnh Phát,"138/56 Hà Tôn Quyền, P. 4",Khu vực Cây Gõ ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội, Giới văn phòng",8.0,8.0,8.0,8.0,8.0,8.0,1,0,1,0,0,296,0,2,0,0,22,Đang mở cửa,16:00-23:00,14.000đ - 60.000đ,http://www.foody.vn/ho-chi-minh/oc-vinh-phat
10.7573530000000,106.6574058999999,651747,13,217,Ốc Đêm 235,235 Nguyễn Chí Thanh,Khu vực Chợ Rẫy ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội",8.0,8.0,8.0,8.0,8.0,8.0,1,0,1,0,0,307,0,1,0,1,25,Đang mở cửa,20:00-00:00,30.000đ - 60.000đ,http://www.foody.vn/ho-chi-minh/oc-dem-235
